Month;Megaliters
2019-03-27;46519
2019-03-28;46644
2019-03-29;45511
2019-03-30;42695
2019-03-31;43151
2019-04-01;46430
2019-04-02;47634
2019-04-03;46782
2019-04-04;46075
2019-04-05;44623
2019-04-06;41618
2019-04-07;44130
2019-04-08;50316
2019-04-09;47115
2019-04-10;46950
2019-04-11;46679
2019-04-12;46827
2019-04-13;41846
2019-04-14;44922
2019-04-15;48221
2019-04-16;46385
2019-04-17;45832
2019-04-18;45461
2019-04-19;43840
2019-04-20;37555
2019-04-21;39949
2019-04-22;45118
2019-04-23;46417
2019-04-24;45283
2019-04-25;42266
2019-04-26;42055
2019-04-27;33772
2019-04-28;35670
2019-04-29;42597
2019-04-30;41757
2019-05-01;38099
2019-05-02;39497
2019-05-03;37734
2019-05-04;36448
2019-05-05;38670
2019-05-06;41381
2019-05-07;42250
2019-05-08;41102
2019-05-09;31198
2019-05-10;34653
2019-05-11;36784
2019-05-12;39991
2019-05-13;44328
2019-05-14;44688
2019-05-15;42568
2019-05-16;42174
2019-05-17;40735
2019-05-18;33874
2019-05-19;38873
2019-05-20;45332
2019-05-21;45901
2019-05-22;44371
2019-05-23;43836
2019-05-24;42245
2019-05-25;36462
2019-05-26;40386
2019-05-27;46213
2019-05-28;44700
2019-05-29;44656
2019-05-30;45225
2019-05-31;43139
2019-06-01;36221
2019-06-02;42243
2019-06-03;48415
2019-06-04;49439
2019-06-05;48602
2019-06-06;50255
2019-06-07;47276
2019-06-08;39494
2019-06-09;44499
2019-06-10;53437
2019-06-11;51495
2019-06-12;45883
2019-06-13;52020
2019-06-14;47023
2019-06-15;41152
2019-06-16;44649
2019-06-17;51025
2019-06-18;50912
2019-06-19;50163
2019-06-20;50203
2019-06-21;47704
2019-06-22;39094
2019-06-23;43081
2019-06-24;50309
2019-06-25;49267
2019-06-26;48611
2019-06-27;47610
2019-06-28;44925
2019-06-29;40541
2019-06-30;41668
2019-07-01;47753
2019-07-02;45645
2019-07-03;45573
2019-07-04;46389
2019-07-05;42950
2019-07-06;37519
2019-07-07;39723
2019-07-08;44900
2019-07-09;44645
2019-07-10;47981
2019-07-11;47947
2019-07-12;44571
2019-07-13;36874
2019-07-14;39264
2019-07-15;46205
2019-07-16;46324
2019-07-17;45489
2019-07-18;45512
2019-07-19;43575
2019-07-20;36815
2019-07-21;39759
2019-07-22;46504
2019-07-23;47816
2019-07-24;48074
2019-07-25;46967
2019-07-26;42306
2019-07-27;33470
2019-07-28;37584
2019-07-29;46443
2019-07-30;46487
2019-07-31;47586
2019-08-01;48124
2019-08-02;43120
2019-08-03;38983
2019-08-04;41738
2019-08-05;49407
2019-08-06;48119
2019-08-07;46591
2019-08-08;46484
2019-08-09;45422
2019-08-10;41655
2019-08-11;40681
2019-08-12;45509
2019-08-13;44846
2019-08-14;44007
2019-08-15;42420
2019-08-16;41360
2019-08-17;37345
2019-08-18;38752
2019-08-19;45804
2019-08-20;47030
2019-08-21;50013
2019-08-22;50184
2019-08-23;43739
2019-08-24;35555
2019-08-25;38080
2019-08-26;44681
2019-08-27;45227
