ds;y
2018-01-01;53349
2018-01-02;61579
2018-01-03;48128
2018-01-04;45317
2018-01-05;43791
2018-01-06;43253
2018-01-07;45529
2018-01-08;44637
2018-01-09;49533
2018-01-10;49156
2018-01-11;48133
2018-01-12;47423
2018-01-13;40537
2018-01-14;44719
2018-01-15;47784
2018-01-16;47055
2018-01-17;46955
2018-01-18;48099
2018-01-19;47659
2018-01-20;45024
2018-01-21;47211
2018-01-22;50883
2018-01-23;49010
2018-01-24;48051
2018-01-25;46527
2018-01-26;47529
2018-01-27;44968
2018-01-28;47206
2018-01-29;52502
2018-01-30;49650
2018-01-31;47293
2018-02-01;46677
2018-02-02;46753
2018-02-03;43582
2018-02-04;45069
2018-02-05;49590
2018-02-06;49383
2018-02-07;48488
2018-02-08;47333
2018-02-09;48154
2018-02-10;43560
2018-02-11;45641
2018-02-12;50398
2018-02-13;51228
2018-02-14;46987
2018-02-15;48095
2018-02-16;47130
2018-02-17;41996
2018-02-18;43323
2018-02-19;53891
2018-02-20;55144
2018-02-21;54045
2018-02-22;50912
2018-02-23;41938
2018-02-24;44180
2018-02-25;45114
2018-02-26;50740
2018-02-27;51083
2018-02-28;52947
2018-03-01;52669
2018-03-02;55000
2018-03-03;51483
2018-03-04;54518
2018-03-05;62876
2018-03-06;67177
2018-03-07;56827
2018-03-08;43317
2018-03-09;46759
2018-03-10;46582
2018-03-11;47616
2018-03-12;49352
2018-03-13;48252
2018-03-14;47220
2018-03-15;47294
2018-03-16;46246
2018-03-17;44955
2018-03-18;42474
2018-03-19;48350
2018-03-20;49376
2018-03-21;50092
2018-03-22;48356
2018-03-23;47834
2018-03-24;43923
2018-03-25;44973
2018-03-26;44345
2018-03-27;41613
2018-03-28;41179
2018-03-29;43483
2018-03-30;42974
2018-03-31;40395
2018-04-01;41981
2018-04-02;44048
2018-04-03;43975
2018-04-04;41408
2018-04-05;41503
2018-04-06;42573
2018-04-07;35970
2018-04-08;34290
2018-04-09;39817
2018-04-10;40404
2018-04-11;42595
2018-04-12;43423
2018-04-13;43190
2018-04-14;37587
2018-04-15;38994
2018-04-16;43839
2018-04-17;42374
2018-04-18;43120
2018-04-19;43725
2018-04-20;42787
2018-04-21;36443
2018-04-22;41400
2018-04-23;41659
2018-04-24;39554
2018-04-25;39587
2018-04-26;39649
2018-04-27;37622
2018-04-28;36758
2018-04-29;33102
2018-04-30;32631
2018-05-01;33713
2018-05-02;35093
2018-05-03;39430
2018-05-04;41546
2018-05-05;37309
2018-05-06;41306
2018-05-07;44177
2018-05-08;41433
2018-05-09;32081
2018-05-10;44576
2018-05-11;41344
2018-05-12;34805
2018-05-13;35514
2018-05-14;41348
2018-05-15;39430
2018-05-16;40440
2018-05-17;41584
2018-05-18;40147
2018-05-19;35446
2018-05-20;39111
2018-05-21;42985
2018-05-22;41440
2018-05-23;41134
2018-05-24;40261
2018-05-25;39659
2018-05-26;34476
2018-05-27;36972
2018-05-28;43820
2018-05-29;41924
2018-05-30;40745
2018-05-31;42626
2018-06-01;41937
2018-06-02;35956
2018-06-03;39051
2018-06-04;46051
2018-06-05;46672
2018-06-06;47285
2018-06-07;47450
2018-06-08;46461
2018-06-09;46172
2018-06-10;40890
2018-06-11;39851
2018-06-12;42186
2018-06-13;46588
2018-06-14;44002
2018-06-15;41852
2018-06-16;35741
2018-06-17;37770
2018-06-18;46108
2018-06-19;45377
2018-06-20;45686
2018-06-21;46465
2018-06-22;44851
2018-06-23;36764
2018-06-24;42363
2018-06-25;47162
2018-06-26;46732
2018-06-27;45965
2018-06-28;47645
2018-06-29;44265
2018-06-30;37840
2018-07-01;37835
2018-07-02;46627
2018-07-03;46963
2018-07-04;49340
2018-07-05;50489
2018-07-06;47562
2018-07-07;38658
2018-07-08;41731
2018-07-09;49232
2018-07-10;48990
2018-07-11;48393
2018-07-12;47672
2018-07-13;48172
2018-07-14;37876
2018-07-15;39017
2018-07-16;48525
2018-07-17;47757
2018-07-18;47940
2018-07-19;51002
2018-07-20;43749
2018-07-21;39055
2018-07-22;40184
2018-07-23;48730
2018-07-24;47324
2018-07-25;46159
2018-07-26;47860
2018-07-27;45799
2018-07-28;36621
2018-07-29;39392
2018-07-30;47944
2018-07-31;49132
2018-08-01;47883
2018-08-02;49031
2018-08-03;46439
2018-08-04;38015
2018-08-05;42200
2018-08-06;48803
2018-08-07;49016
2018-08-08;51936
2018-08-09;47946
2018-08-10;44826
2018-08-11;37220
2018-08-12;40914
2018-08-13;51216
2018-08-14;50435
2018-08-15;49319
2018-08-16;47687
2018-08-17;44906
2018-08-18;37204
2018-08-19;39820
2018-08-20;47827
2018-08-21;48219
2018-08-22;47422
2018-08-23;46557
2018-08-24;43248
2018-08-25;36422
2018-08-26;39190
2018-08-27;45966
2018-08-28;46553
2018-08-29;45738
2018-08-30;44607
2018-08-31;45529
2018-09-01;34226
2018-09-02;35772
2018-09-03;38305
2018-09-04;39118
2018-09-05;39747
2018-09-06;39567
2018-09-07;36248
2018-09-08;31257
2018-09-09;32753
2018-09-10;39139
2018-09-11;39430
2018-09-12;39112
2018-09-13;37739
2018-09-14;37521
2018-09-15;32148
2018-09-16;36132
2018-09-17;39954
2018-09-18;40113
2018-09-19;40594
2018-09-20;38621
2018-09-21;37303
2018-09-22;35935
2018-09-23;41496
2018-09-24;46434
2018-09-25;44061
2018-09-26;40539
2018-09-27;43025
2018-09-28;43967
2018-09-29;39928
2018-09-30;39730
2018-10-01;45060
2018-10-02;46604
2018-10-03;46663
2018-10-04;51349
2018-10-05;46961
2018-10-06;42573
2018-10-07;40954
2018-10-08;49248
2018-10-09;47416
2018-10-10;47372
2018-10-11;47444
2018-10-12;46324
2018-10-13;40494
2018-10-14;42127
2018-10-15;46663
2018-10-16;46001
2018-10-17;45382
2018-10-18;46684
2018-10-19;46839
2018-10-20;44744
2018-10-21;46871
2018-10-22;50829
2018-10-23;53296
2018-10-24;56567
2018-10-25;51883
2018-10-26;47566
2018-10-27;41657
2018-10-28;44777
2018-10-29;49214
2018-10-30;47769
2018-10-31;46681
2018-11-01;45613
2018-11-02;44408
2018-11-03;41026
2018-11-04;42962
2018-11-05;44020
2018-11-06;48170
2018-11-07;48511
2018-11-08;48741
2018-11-09;50940
2018-11-10;45882
2018-11-11;51077
2018-11-12;54399
2018-11-13;52935
2018-11-14;55376
2018-11-15;54287
2018-11-16;52488
2018-11-17;46792
2018-11-18;50203
2018-11-19;58610
2018-11-20;57771
2018-11-21;59650
2018-11-22;66991
2018-11-23;69646
2018-11-24;53478
2018-11-25;52879
2018-11-26;61065
2018-11-27;59803
2018-11-28;62305
2018-11-29;61008
2018-11-30;61243
2018-12-01;55202
2018-12-02;60409
2018-12-03;70880
2018-12-04;73283
2018-12-05;69931
2018-12-06;78922
2018-12-07;79921
2018-12-08;65641
2018-12-09;68239
2018-12-10;76723
2018-12-11;75943
2018-12-12;76282
2018-12-13;79653
2018-12-14;75295
2018-12-15;67771
2018-12-16;73052
2018-12-17;84329
2018-12-18;84249
2018-12-19;81572
2018-12-20;80934
2018-12-21;87920
2018-12-22;89716
2018-12-23;92860
2018-12-24;115016
2018-12-25;114570
2018-12-26;108389
2018-12-27;97817
2018-12-28;93759
2018-12-29;94790
2018-12-30;90114
2018-12-31;55906
2019-01-01;69170
2019-01-02;76389
2019-01-03;54796
2019-01-04;50899
2019-01-05;51444
2019-01-06;52498
2019-01-07;52550
2019-01-08;52396
2019-01-09;55115
2019-01-10;53813
2019-01-11;53087
2019-01-12;48997
2019-01-13;49983
2019-01-14;54180
2019-01-15;52966
2019-01-16;53267
2019-01-17;54447
2019-01-18;52786
2019-01-19;49120
2019-01-20;52828
2019-01-21;55752
2019-01-22;54929
2019-01-23;53499
